nombre_completo_cursada,profesores,enlace
G01 - Introducción: dinámica de la innovación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1485
G02 - Economía de la innovación y del conocimiento,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1486
G03 - Estrategias y ámbitos de la innovación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1487
G04 - Competitividad Industrial,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1488
G05 - Marketing de las organizaciones industriales y tecnológicas.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1489
"G06 - Desarrollo local y regional. Teoría, políticas y estrategias",,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1490
G07 - Organizaciones innovadoras orientadas al conocimiento.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1491
G08 - Gestión estratégica del conocimiento. Diseño e implantación de sistemas.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1492
G09 - Gestión de la innovación y la tecnología,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1493
G10 - Desarrollo emprendedor y la creación de empresas de base tecnológica.,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1496
G11 - Política Científica Tecnológica e Industrial,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1494
G12 - Taller de Trabajo Final Integrador GTEC,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1495
Gestion de la Tecnologia y de la Innovacion 1,FRANCISCO JOSE ALVAREZ; GUILLERMO ALFREDO LOMBERA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1644
Gestión Ambiental (832),MARIELA BEATRIZ AMBRUSTOLO; MARINA ALEJANDRA MIGUELES; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1431
Gestión Emprendedora y de la Creatividad - 3ra Cohorte,FRANCISCO JOSE ALVAREZ; PABLO SELA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1691
Gestión de Costo y Presupuesto en Proyecto,Anibal Norberto Cassanelli; PABLO CESAR CATTANEO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1537
Gestión de Procesos en la Industria de Alimentos (Plan 2003),GERARDO CHECMAREV; REINA DEL PILAR JACINTO HIDALGO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1311
Gestión de Propiedad Intelectual,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1508
Gestión de Proyectos Informáticos (Plan 2024) (Optativa Plan 2003),ROBERTO GIORDANO LERENA; CRISTIAN ARIEL REMON; AGUSTIN ALFREDO ROJAS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1753
Gestión de Proyectos Sociales,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1469
Gestión de Proyectos de Energía,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1500
"Gestión de Proyectos, Riesgos e Incertidumbre",FRANCISCO JOSE ALVAREZ; Anibal Norberto Cassanelli; JUAN FRANCISCO GARCÍA DÍAZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1738
Gestión de la Calidad (828) /Sistemas de Gestión y Mejora Continua (8311),MARIELA BEATRIZ AMBRUSTOLO; MARIA BETINA BERARDI; MARINA ALEJANDRA MIGUELES; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1432
Gestión de la Innovación Tecnológica e Industrial (867)/ Gestión de la Tecnología y la Innovación (8308),FABRICIO MARIO BASSO; MARIO CISNEROS; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1433
Gestión de la Tecnología y de la Innovación 2: Gestión de la Innovación,FRANCISCO JOSE ALVAREZ; HERNÁN BACARINI; JUAN FRANCISCO GARCÍA DÍAZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1725
Gestión de prácticas socio comunitarias,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1476
Gestión del Conocimiento y Propiedad Intelectual,FRANCISCO JOSE ALVAREZ; STELLA MARIS TASSI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1735
Gestión y Uso Eficiente de la Energía,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1503
Hacer Ingeniería,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1471
Hands on IoT,WALTER ANDRES GEMIN; RODRIGO EZEQUIEL RUSSO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1529
Herramientas para la virtualidad,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1154
Historia de la Ciencia,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1502
Información General de la Diplomatura,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1731
Ingeniería Económica para empresas industriales y de servicios (875) /  Formulación y Evaluación de Proyectos (8305),FEDERICO CAMINO; GUILLERMO ADRIAN CARRIZO; PABLO ARIEL DELMONTE; LILIANA BEATRIZ GADALETA; LEANDRO LENZI; ALBERTO MANUEL LOPEZ; RICARDO MANUEL MASSANO; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1445
Ingeniería de Productos Pesqueros-AUSAL,SILVINA PAOLA AGUSTINELLI; MARIA VICTORIA ALVAREZ; MARINA CZERNER; MARIA GABRIELA GOÑI; SILVINA PEREZ; MARIANINA PEREZ CENCI; GABRIELA LEONOR SANCHEZ PASCUA; ALEJANDRA TOMAC,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1301
Ingeniería de Sistemas de Procesos (Plan 2024),Bianca Bietti Managó; MARÍA VICTORIA DEL PÓPOLO GRZONA; JESICA MICAELA HERRERA; IRENE TERESITA SEOANE; EZEQUIEL RODOLFO SOULE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1741
Ingeniería de Videojuegos (Plan 2010),Franco Kühn; ADOLFO TOMAS SPINELLI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1269
Ingeniería de las Reacciones Heterogéneas (Plan 2003),ROMINA DI IORIO; LAURA ALEJANDRA FASCE; GIANINA  ANDREA KLOSTER; IRENE TERESITA SEOANE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1294
Ingeniería y Calidad de Vida: el surgimiento de la Bioingeniería,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1473
Instalaciones Eléctricas A (Plan 2024) / Instalaciones Eléctricas I (Plan 2003),HERNÁN DARÍO ANTERO; GUSTAVO EDUARDO FERNANDEZ; RUBEN OSVALDO FERREYRA; GUILLERMO JOSE MURCIA; JORGE LUIS STRACK; LUIS GABRIEL VESUBIO; RUBEN ADRIAN ZUANETTI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1380
